study_accession	fetch_status	n_samples	children
PRJEB86259	OK	100	
PRJNA1119053	OK	69	
PRJEB106128	OK	1400	
PRJNA1060484	OK	1	
PRJNA640717	OK	10	
PRJNA473126	OK	402	
PRJNA692830	OK	24	
PRJEB9403	OK	2281	
PRJNA598414	OK	24	
PRJNA1036300	OK	18	
PRJNA656314	OK	15	
PRJNA494387	OK	3	
PRJEB58106	OK	115	
PRJNA1164203	OK	161	
PRJNA772888	OK	18	
PRJEB6997	OK	530	
PRJDB6165	OK	8	
PRJEB58777	OK	396	
PRJNA631724	OK	53	
PRJNA376566	OK	408	
PRJNA786887	OK	40	
PRJNA813004	OK	10	
PRJNA1055599	OK	24	
PRJEB39955	OK	159	
PRJNA946383	OK	80	
PRJNA339914	OK	28	
PRJEB77081	OK	283	
PRJNA1215014	OK	24	
PRJNA974554	OK	72	
PRJNA1039141	OK	120	
PRJEB105017	OK	2	
PRJEB1690	OK	36	
PRJNA1454930	OK	10	
PRJNA704780	OK	8	
PRJNA1147314	OK	838	
PRJNA736861	OK	33	
PRJEB26512	OK	470	
PRJEB83610	OK	34	
PRJNA255936	OK	15	
PRJNA630862	OK	20	
PRJNA643301	OK	63	
PRJNA1254096	OK	14	
PRJEB59119	OK	42	
PRJNA787952	OK	155	
PRJEB26596	OK	1	
PRJEB97391	OK	344	
PRJNA1055184	OK	133	
PRJNA1050241	OK	60	
PRJDB36916	OK	132	
PRJNA590977	OK	5	
PRJNA1205011	OK	9	
PRJNA760651	OK	10	
PRJNA991276	OK	8	
