study_accession	fetch_status	n_samples	children
PRJNA948893	OK	6	
PRJNA1092431	OK	53	
PRJNA1063657	OK	52	
PRJDB14208	OK	55	
PRJEB55462	OK	294	
PRJNA694380	OK	2	
PRJNA908720	OK	1	
PRJNA347599	OK	12	
PRJNA447857	OK	14	
PRJEB50568	OK	119	
PRJEB37731	OK	3342	
PRJEB46806	OK	51	
PRJNA1298833	OK	4	
PRJDB10829	OK	112	
PRJNA559605	OK	21	
PRJDB2552	OK	1	
PRJNA1116578	OK	96	
PRJEB81553	OK	288	
PRJNA1026631	OK	83	
PRJNA290684	OK	39	
PRJEB20308	OK	129	
PRJDB18359	OK	45	
PRJEB38343	OK	48	
PRJNA1148165	OK	46	
PRJDB36826	OK	72	
PRJNA1264679	OK	16	
PRJNA874500	OK	4	
PRJNA1049198	OK	90	
PRJNA544874	OK	129	
PRJDB34615	OK	82	
PRJNA356225	OK	150	
PRJDB13194	OK	4	
PRJNA862908	OK	151	
PRJNA433811	OK	4	
PRJDB38615	OK	140	
PRJEB7759	OK	184	
PRJNA888429	OK	23	
PRJNA906124	OK	33	
PRJNA831632	OK	145	
PRJNA1226362	OK	30	
PRJEB11519	OK	29	
PRJNA1102860	OK	2778	
PRJNA422434	OK	370	
PRJNA848403	OK	8	
PRJNA1193782	OK	57	
PRJNA1320939	OK	111	
PRJEB14847	OK	323	
PRJNA761967	OK	84	
PRJNA383926	OK	6	
PRJNA371649	OK	1	
PRJNA354235	OK	1307	
PRJNA666163	OK	40	
PRJNA804100	OK	53	
PRJEB32631	OK	2387	
PRJNA861020	OK	36	
PRJEB41102	OK	286	
PRJNA515074	OK	24	
PRJNA902117	OK	33	
PRJNA812583	OK	12	
PRJEB1786	OK	145	
PRJNA1092107	OK	10	
PRJNA1072233	OK	18	
PRJNA1000214	OK	16	
PRJDB36502	OK	16	
PRJNA673918	OK	71	
PRJNA1070856	OK	35	
PRJNA750156	OK	46	
PRJNA757176	OK	12	
PRJNA756556	OK	38	
PRJNA1030894	OK	100	
PRJEB63613	OK	35	
PRJEB24006	OK	25	
PRJNA721235	OK	4	
PRJDB38518	OK	22	
PRJNA532626	OK	25	
PRJEB22491	OK	323	
PRJNA397041	OK	18	
PRJNA575543	OK	18	
PRJNA1307965	OK	14	
PRJNA1163371	OK	174	
PRJNA1205074	OK	36	
PRJDB18384	OK	11	
PRJNA848116	OK	82	
PRJNA694773	OK	10	
PRJNA741606	OK	43	
PRJNA1377454	OK	24	
PRJDB36775	OK	118	
PRJEB42464	OK	59	
PRJNA951204	OK	1	
PRJNA744219	OK	16	
PRJEB29373	OK	134	
PRJNA338370	OK	10	
PRJNA1206727	OK	8	
PRJNA1010706	OK	419	
PRJNA769748	OK	70	
PRJNA714611	OK	1	
PRJNA722684	OK	59	
PRJNA1039992	OK	120	
PRJNA291299	OK	4	
PRJNA849257	OK	24	
PRJNA782533	OK	79	
PRJNA493817	OK	2	
PRJNA818062	OK	45	
PRJNA492361	OK	1	
PRJEB86258	OK	2723	
PRJDB14449	OK	3	
PRJNA1269239	OK	33	
PRJNA1260157	OK	6	
PRJNA898082	OK	51	
PRJNA1138893	OK	46	
PRJNA1232403	OK	98	
PRJEB51122	OK	161	
PRJNA1158959	OK	89	
PRJEB31650	OK	567	
