study_accession	ena_study_title	ena_study_description	host_final	host_final_from	body_site_final	body_site_final_from	body_site_final_detail
PRJNA665253	16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning Raw sequence reads	16S rRNA sequencing of swine fecal microbiota during the first three weeks after weaning	Sus scrofa	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJDB4176	metagenomic data from human fecal samples	Total microbial community DNA was isolated from the fecal samples of Japanese patients who underwent colonoscopy at National Cancer Research Center. The study population contains health, early and advanced cancer stages.	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut
PRJNA1332145	Antibiotic feeding reshapes the pig gut resistome through diversity loss, vertical consolidation, and ecological reorganization	Antibiotics act as dual agents in the gut microbiome, temporarily suppressing horizontal ARG transfer while promoting the vertical inheritance of resistance. This dual effect highlights the ecological entrenchment of resistance and underscores the necessity of considering both transmission mechanisms and long-term ecological impacts when developing antibiotic stewardship policies.	Sus scrofa	ena_host_field	GUT	sample_fields	gut: gut
PRJNA788958	Horse microbiome data - microbiome resilience	Test of postbiotics from Saccharomyces cerevisiae (TruEquine C, Diamond V, USA) in horses.	Equus caballus	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJEB42282	Cecal microbiota transfer rescues the antibiotic-induced acceleration of type 1 diabetes and alteration of intestinal gene expression	Early-life antibiotic exposure perturbs the intestinal microbiota, alters innate intestinal immunity, and accelerates type 1 diabetes development in the NOD mouse model. Here we found that maternal cecal microbiota transfer (CMT) to NOD mice with early-life antibiotic perturbation partially rescued the induced T1D acceleration. The restoration effects on the intestinal microbiome were substantial and persistent, remediating the antibiotic-depleted diversity, relative abundance of particular taxa, and metabolic pathways. CMT also protected against perturbed cecal and serum metabolites and normalized innate and adaptive immune effectors. CMT restored patterns of ileal microRNA and histone regulation of gene expression and exon-splicing. Based on the analyses of experimental data, we propose an innate intestinal immune network involving CD44, TLR2, and Reg3-gamma, as well as their multiple microRNA and epigenetic regulators that sense intestinal signaling by the gut microbiota. This regulation affects downstream immunological tone, leading to protection against the tissue-specific T1D injury.	Mus musculus	ena_study_text	GUT	sample_fields	gut: feces
PRJEB57228	Dietary intervention of people with Parkinson's disease	Placeholder	Homo sapiens	biome_label	GUT	sample_fields	gut: gut
PRJNA937780	The composition and function of microbial communities in different gastrointestinal segments of sheep	The metagenomic sequencing were performed to explore the composition and function of microbial communities in different gastrointestinal segments of Tan sheep	Ovis aries	ena_host_field	GUT	sample_fields	gut: colon, duodenum, gut, rumen
PRJDB33192	Infands gut virome (PRJCA031650)	Infands gut virome relation with different feeding patterns	Homo sapiens	ena_host_field	GUT	sample_fields	gut: gut
PRJNA373834	Metagenomic analysis of gut microbiota in sows and piglets	We studied the intestinal microbiome in feces from sows, five days after farrowing, their piglets during suckling and two weeks after weaning, 5-day old artificially reared and formula-fed siblings, and FP infected with Clostridium difficile.	Sus scrofa	ena_host_field	GUT	sample_fields	gut: feces, gut
PRJEB47613	HoloFood Chicken Caecum+Ileum Metagenome â non-targeted metabolomics batch	Metagenomic raw reads from a subset of the HoloFood chicken caecum and ileum samples. This batch is the metagenomic counterpart of animals sampled for non-targeted metabolomics all samples come from male animals under control treatment and aged 35 days.	Gallus gallus	ena_host_field	GUT	sample_fields	gut: caecum, gut, ileum
