study_accession	host_species	host_tax_id	body_site	country	n_samples	library_strategy	is_animal	title
PRJNA843963	Homo sapiens	9606		Ethiopia	263	WGS	True	CAGED: CAMPYLOBACTER GENOMICS AND ENVIRONMENTAL ENTERIC DYSFUNCTION
PRJNA751585	Gallus gallus	9031		USA: Indiana	223	AMPLICON	True	Cecal microbiome of AGP treated broilers
PRJNA991276	Sus scrofa	9823		China	8	WGS	True	pig gut metagenome Raw sequence reads
PRJNA657304	Canis lupus familiaris	9615		USA: Illinois, University of Illinois Laboratory of Comparative Nutrition and Nutrigenomics	21	WGS	True	Shotgun Sequencing of Dog Coprolites
PRJNA673918	Homo sapiens	9606		China: Xiamen	71	WGS	True	Shorgun metagenomics of T2DM human gut microbes associated with FMT
PRJNA737271	Sus scrofa			Not collected	40	WGS	True	Piglet gut and in-barn manure from farms on Raised Without Antibiotics program display a reduced antimicrobial resistance but an increased prevalence of pathogens
PRJNA738684	Homo sapiens	9606		China:Beijing	52	WGS	True	Branched-chain sugar of pectin
PRJDB16637	Plecoglossus altivelis	61084		Japan	123	AMPLICON	True	Microbiome analysis of ayu, Plecoglossus altivelis infected with Flavobacterium psychrophilum
PRJNA945007	Gallus gallus	9031		Tanzania: Dar es Salaam (Buguruni)	54	WGS	True	Non-targeted microbial sequencing of backyard chickens in Tanzania
PRJEB89232	Sus scrofa domesticus	9825	Small intestine	Spain	28	WGS	True	This project aims to characterise the effects of a low-fat and a medium-fat diet on the gut metabolome and the microbiota throughout the gastrointestinal tract of Iberian pigs.
PRJDB15999	Mus musculus	10090		Japan:Tokyo	35	AMPLICON	True	Gut microbiota dominants over mice genetic variability in susceptibility to dextran sulphate sodium induced colitis
PRJNA622417	rat			India:Tamilnadu,Vellore	4	WGS	True	Rat fecal metagenome
PRJNA848282	Tibetan pigs			China:LinZhi	12	WGS	True	Colon 16s sequencing data of Tibetan and Yorkshire pigs
PRJDB10484	Homo sapiens	9606		Japan	102	AMPLICON	True	Gut microbial species responsible for hyperammonemia-related urease activity in hepatic encephalopathy patients
PRJNA1268758	Gallus gallus domesticus			Jordan: Irbid	24	WGS	True	Thermal manipulation impact on microbiome in chickens
PRJNA1029302	Kyphosus sydneyanus	1260386		New Zealand: Nelson Island, Auckland	39	WGS	True	Herbivorous fish gut metagenome sequencing and assembly
PRJNA1102860	Equus caballus	9796		Canada: Sable Island, Nova Scotia	1000	WGS	True	Shallow shotgun metagenomic sequencing of the Sable Island horse gut microbiome
PRJDB11444	Homo sapiens	9606		Japan	306	AMPLICON	True	Gut microbiome of prediabetes in Japan
PRJNA1330193	Sus scrofa	9823		China: Guangdong, Guangzhou	45	AMPLICON	True	Metagenomic Sequencing Data of DLY_piglets
PRJEB83251	Mus musculus	10090	Feces	USA	26	WGS	True	C. cuniculi diarrhea in NSG mice
PRJNA888429	Sus scrofa	9823		China:Shanxi	23	WGS	True	Diversity and Potential Function of Pig Gut DNA Viruses
PRJEB59610	Canis lupus familiaris	9615		Hungary	215	AMPLICON	True	Comparative metagenomic profiling of canine gut microbial community using different sample preparation methodes
PRJDB3819	Lagopus muta hyperborea	2969981		Japan: Kanagawa, Yokohama	9	WGS	True	Novel probiotic bacteria retrieved from wild rock ptarmigans
PRJNA552411	Gallus gallus	9031		Ethiopia: Afar	2	WGS	True	Metagenome analysis reveals presence of Antibiotic Resistant Genes in Ethiopian chicken
PRJNA777737	Ochotona curzoniae	130825		China:Qinghai	26	WGS	True	the metagenome of plateau pika
PRJNA1218713	Sus scrofa	9823		Spain	172	WGS	True	Gut microbiota (swine) shotgun sequencing
PRJEB96078	Mus musculus	10090	UBERON:feces	USA;USA:CA:San Diego	192	WGS	True	ApoE_FXR_IHC_Air_HFD
PRJNA1328842	Sus scrofa	9823		USA: Kansas, Kansas State University Comparative Medicine	1000	AMPLICON	True	Assessing The Microbiome As A Tool For The Mitigation Of Viral Disease In Nursery Pigs
PRJNA792486	Black goat			China:Hainan	45	WGS	True	Rumen and cecum content metagenome of goat, and cecum content metagenome of swine Raw sequence reads
PRJNA1254096	Diptychus maculatus	263537		China: Xinjiang, Upper Kizil River	14	WGS	True	Metagenomic sequencing on the gut microbiota of Three Indigenous Fish Species from the Kizil River, Xinjiang
PRJDB36775	Homo sapiens	9606		missing: data agreement established pre-2023	118	WGS	True	Metagenome for CKD (HS study) (PRJCA040203)
PRJNA919082	Homo sapiens				64	WGS	True	Types and characteristics of shared microbiota within families of ethnic minorities in Inner Mongolia
PRJDB37508	Homo sapiens	9606		Japan:Tokyo	470	WGS	True	Human Gut Metagenome
PRJNA988937	Gallus gallus			China:Guangdong, Zhuhai	35	WGS	True	Metagenomic approach revealed the co-occurrence and transmission of antibiotic resistomes in aquaculture environment
PRJDB34988	Anas platyrhynchos	8839		missing: data agreement established pre-2023	464	RNA-Seq	True	Microbial diversity in duck gut and its effects on host phenotype (PRJCA038082)
PRJNA1454930	Sus scrofa	9823		China:Gansu	10	WGS	True	Gut meta genome
PRJNA637365	Homo sapiens	9606		Israel: Tel-Aviv	118	WGS	True	Dysbiosis in metabolic genes of the gut microbiomes of patients with a Pouch
PRJDB9922	Mus musculus	10090		Japan	48	WGS	True	Mice fecal lipidomics in antibiotics treatment
PRJNA688069	Gallus gallus				33	WGS	True	S. enterica Intracloacal challenge chicken cecum microbiome Raw sequence reads
PRJNA773596	Homo sapiens	9606		China:Hohhot	83	WGS	True	Clinical study of probiotics in adjuvant treatment of patients with osteoporosis
PRJNA852373	Homo sapiens			Taiwan	5	WGS	True	Alterations in antimicrobial resistant bacteria and gut microbiota in chickens and humans
PRJNA861020	Felis catus	9685		New Zealand:Palmerston North	36	WGS	True	Cat and dog faecal microbiome comparison
PRJNA493153	Homo sapiens	9606		USA: Arkansas	1	WGS	True	Gut Microbiome Sequencing of Head and Neck Cancer Patients
PRJDB38518	Homo sapiens	9606		missing: data agreement established pre-2023	22	WGS	True	Human gut virome (PRJCA034040)
PRJNA1389899	Gallus gallus	9031		China: Wuhan	18	WGS	True	Metagenomic sequencing of chicken caecal contents before and after heat stress
PRJNA722129	Homo sapiens	9606		China: Shandong	93	WGS	True	The possible mechanism of Probio-M8 to relieve the symptoms of asthma patients
PRJNA1067849	Sus scrofa	9823		China:Nanjing	54	WGS	True	gut microbiota of IUGR pig Metagenome
PRJNA1171181	Siniperca chuatsi	119488		China:Chizhou City	8	WGS	True	gut metagenome
PRJNA656314	Danio rerio	7955		China: Shanghai	15	WGS	True	Environmental concentrations of antibiotics alter the zebrafish gut microbiome structure and potential functions
PRJNA638426	Sus scrofa	9823		USA: Ames, IA	984	AMPLICON	True	Effects of feed additives on nursery aged swine and swine infected with Salmonella
PRJNA857725	Sus scrofa domesticus	9825		Canada:Alberta,Lacombe	60	AMPLICON	True	Fecal samples from pasture-raised pigs Metagenome
PRJNA613182	Mus musculus	10090			90	WGS	True	Longitudinal metagenomic shotgun sequencing of R6/1 fecal samples
PRJNA986525	Mus musculus	10090		USA: Nashville	17	WGS	True	2'-fucoysllactose treatment of C57BL/6 adult mice fecal metagenomics
PRJNA373834	Sus scrofa	9823		Germany: Berlin	22	WGS	True	Metagenomic analysis of gut microbiota in sows and piglets
PRJNA859374	rat			China: Xi'an	16	WGS	True	Gut microbiota in Cardiac Arrest Rat Model
PRJNA821272	Mice			China: Hohhot	30	WGS	True	Lacticaseibacillus rhamnosus M9 inhibits the growth of breast tumors in mice by regulating gut microbiota, immunity and blood metabolites
PRJNA416199	mudskipper1			missing	12	WGS	True	Intestinal flora Metagenome
PRJEB47609	Gallus gallus	9031	Ileum content	Spain	179	WGS	True	HoloFood Chicken Ileum Metagenome – deeply sequenced batch
PRJEB41323	Gallus gallus	9031	Caecum content	Spain	210	WGS	True	HoloFood Chicken Caecum Metagenome – deeply sequenced batch
PRJNA692830	Homo sapiens	9606		Sweden	24	WGS	True	Whole genome metagenomic analysis of the gut microbiome in HIV-1 infected individuals on antiretroviral therapy
PRJNA574851	Macaca mulatta	9544		China:Kunming,Yunnan-Kweichow Plateau	10	WGS	True	Gut microbiota and metabolites in α-synuclein transgenic monkey models of early stage Parkinson’s disease
PRJNA1055184	Gallus gallus	9031		USA: Iowa	133	WGS	True	Prokaryotic microbial communities of the Ileal digesta of Gallus gallus domesticus
PRJEB86262	Sus scrofa	9823	Caecum	Norway	432	WGS	True	3D'omics: protein efficiency pig trial
PRJNA946383	Gallus gallus	9031		United Kingdom	80	WGS	True	Microbial community diversity and structure in the cecum of laying hens with and without mannan-rich fraction supplementation
PRJEB39465	Mus musculus	10090		Singapore	724	WGS	True	Impact of 6-Month Exposure to Aerosols from Potential Modified Risk Tobacco Products Relative to Cigarette Smoke on the Rodent Gastrointestinal Tract
PRJNA902684	Rattus	10114		China: Hohhot	110	WGS	True	Metagenome level reveals the regulatory effect of probiotics to mastitis rats
PRJNA1011357	Cyprinus carpio	7962		Mexico: State of Mexico	10	WGS	True	Description of the viral community in fecal content of common carp (Cyprinus carpio) living in a naturally preserved wetland on Mexican plateau
PRJEB49262	Homo sapiens	9606			62	WGS	True	Depression and Fatigue in IBD
PRJEB62460	Homo sapiens			USA:CO:Grand Junction;USA	874	AMPLICON	True	Metcalf - Microbial clock for estimating PMI in three geographic regions in the U.S
PRJDB35153	Macaca mulatta brevicaudus	1654737		missing: data agreement established pre-2023	41	WGS	True	Gut Microbiota in Macaca Mulatta Brevicaudus (PRJCA038744)
PRJNA782061	Ctenopharyngodon idella	7959		China:Changsha	6	WGS	True	Gut microbiome of grass carp (EX/WT)
PRJDB33192	Homo sapiens	9606		missing: data agreement established pre-2023	51	WGS	True	Infands gut virome (PRJCA031650)
PRJNA998458	Lynx rufus			USA: Jacksonville Zoological Gardens, Jacksonville, Florida.	3	WGS	True	Bobcat (Lynx rufus) environmental DNA (eDNA) soil pawprints and scat
PRJNA1070846	rats			China:Hohhot	41	WGS	True	Fecal metagenomic sequecing
PRJNA741390	Ctenochaetus striatus	175436		China: South China Sea	8	WGS	True	A positive feeding response in a major coral reef detritivore
PRJNA796172	Sus scrofa	9823		Not collected	48	WGS	True	Detection of bacterial species and Antibiotic resistance genes in Pig Manure Based on metagenome sequencing
PRJNA255936	Sus scrofa	9823		Switzerland	15	WGS	True	Fermentation sample pig feces Metagenome
PRJDB16790	Homo sapiens	9606		Japan	428	WGS	True	Generic sample from human gut metagenome
PRJNA820553	Equus asinus			Iran:Zanjan	15	WGS	True	metagenome of ancient coprolites
PRJDB4067	Otohimella japonica	1684697		Japan:Kanagawa	2	WGS	True	Sequencing old specimens of seaweeds
